_Shared Shelf Field Name,Namespaced Schema Mapping,Expected Value,Definition,Obligation,Usage Notes,SS API header,SS API dataIndex (Kassoy),_DataID (Labor Photos),SS to Solr Concept,_SOLR Field Name,_Index,_facet,_Item View,_Field Label
Accession Number,dc:identifier,Literal (typed Accession),Accession number issued by the archival repository for the physical item represented by the digital surrogate.,"{1,1}",All 'null'.,Accession Number,fd_3540_s,fd_3503_s,n/a,n/a,n/a,n/a,n/a,n/a
Artstor Classification Display,bf:classification,Literal (classification instance label),Classification concept label in Artstor scheme.,"{0,1}",Broad topical areas.,Artstor Classification,fd_3537_mfcl_lookup,fd_3500_multi_s,n/a,n/a,n/a,n/a,n/a,n/a
Artstor Classification Link,n/a,Identifier,Identifier for classification concept in Artstor databases.,"{0,0}",Broad topical areas Artstor-specific database identifiers (not links).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Artstor Classification Facet,bf:classification,Literal (classification instance label generally),Classification concept label in Artstor scheme.,,Appears to always be the same as the Classification Display. Why include both?,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Artstor Collection Digital Publisher,dct:publisher (asserted on ArtStor collection),Agent instance identifier,Person who updated the collection as published at a target.,"{1,1}",,"ARTstor Workspace, Cornell: Bernard Kassoy Teacher News Cartoons: Published By",publishing_status.285.updated_by,,,,,,,
Artstor Collection Publication Date,dct:issued (asserted on ArtStor collection),ISO-encoded date,Date someone updated/published the collection to a target.,"{1,1}",,"ARTstor Workspace, Cornell: Bernard Kassoy Teacher News Cartoons: Published On",publishing_status-285-updated_on,,,,,,,
Artstor Collection Status,n/a,Literal,Whether a collection has been published or not to a target.,"{1,1}",,"ARTstor Workspace, Cornell: Bernard Kassoy Teacher News Cartoons: Status",publishing_status.285.status,,,,,,,
ARTstor Id,dc:identifier,Numerical value,An unambiguous reference to the resource within a given context.,"{1,1}",All 'null'.,ARTstor Id,fd_3555_s,fd_3518_s,,,,,,
Collection,dct:isPartOf (on the physical concept?),Literal (collection name),The name of the archival collection the original photographs are from.,"{0,1}","Wasn't sure if this was physical or digital collections, appear to be physical collections.
   139 Bernard Kassoy, Artist. Teachers Union Cartoons, #6107G
  41 Frank B. Gilbreth Motion Study Photographs (1913-1917)
1080 International Ladies Garment Workers Union Photographs (1885-1985)
 217 Louise Boyle. Southern Tenant Farmers Union Photographs, 1937 and 1982
 265 Midvale Company Photographs (1883 - 1953)
  46 New York Call Photographs, ca. 1908-1923",Collection,fd_3560_s,fd_3520_s,Archival Collection,archival_collection,Yes,archival_collection,Yes,Archival Collection
Country,dct:spatial,Literal (place name not normalized),"Some related place or institution? DCTerms definition: The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant.","{0,n}",All 'United States (MFCL: 11313083)'. Is this the country of origin or represented? Think it is former?,Country,fd_3546_mfcl_lookup,fd_3509_multi_s,Location,,Yes,location,,
Creator,dc:creator,Literal (creator's name),An entity primarily responsible for making the resource.,"{0,n}","Only value captured: ""Kassoy, Bernard  (American printmaker and painter)""   (SSN: 7000289755) SSN is shared shelf number for the entity.",Creator,fd_3526_lookup,n/a,Creator,creator,Yes,creator,Yes,Creator
Culture,http://purl.org/vra/culturalContext,"Literal (taken from controlled vocab, as VRA expect instance of vra:Culture)",Cutural context of the digitized artistic or visual work.,"{0,n}",only value captured is 'American'.,Culture,fd_3527_s,fd_3490_s,Culture,culture,Yes,,Yes,Culture
Date,dct:date,Date (literal),"Date associated with the resource. Human-readable, not key dates.","{0,n}",None of the dates are encoded. Could use some normalization.,Date,fd_3531_s,fd_3494_s,Date,date,Yes,date,Yes,Date
