Field Label,Field codes from various collections that map to that Label
Venue Address 3,fd_4546_sfd_5551_s | 
Born Digital Creators,fd_31641_s
Archival Collection,fd_15622_sfd_19459_s | fd_4556_s | fd_24750_s | fd_22789_s | fd_17195_s | fd_18705_s | fd_5355_s | fd_22279_s | fd_62381_s | 
Graphic Designer,fd_4547_lookupfd_5552_lookup | 
"ARTstor Workspace, Cornell: Claire Holt Papers: Images of Indonesian Art, Architecture, and Culture: Published On",publishing_status-165-updated_on
"ARTstor Workspace, Cornell Arts & Sciences Images for Teaching Collection: Published By",publishing_status.677.updated_by
Sequence Number,sequence_numberfd_30065_s | 
"Shared Shelf Commons, Cornell: Hip Hop Party and Event Flyers: Published On",publishing_status-200-updated_on
"Shared Shelf Commons, Billie Jean Isbell Andean Collection: Published By",publishing_status.101.updated_by
"ARTstor Workspace, Cornell: The Experimental Television Center Video Archives: Status",publishing_status.421.status
Proposed population,fd_47963_s
Image File Name,fd_51164_sfd_31519_s | 
Odd,fd_4014_mfcl_lookup
Winckelmann No.,fd_27241_s
Coverage,fd_3486_lookupfd_42430_lookup | 
"ARTstor Workspace, Archivision Library Module 9 - Cornell: Status",publishing_status.759.statuspublishing_status.1175.status | 
"Shared Shelf Commons, Cornell: Images from the Rare Book and Manuscript Collections: Published By",publishing_status.553.updated_by
_Creator 3 Type,fd_31642_mfcl_lookup
Work_Classification,fd_35658_sfd_46678_s | fd_21175_s | fd_21251_s | fd_5458_s | 
"Shared Shelf Commons, Cornell: Ragamala Paintings Collection: Status",publishing_status.1114.status
Election,fd_41114_s
Reference,fd_4502_s
Disc Type,fd_24718_mfcl_lookup
Loan Status,fd_51071_s
Title (English translation),fd_53994_s
"Shared Shelf Commons, Cornell: The J. R. Sitlington Sterrett Collection of Archaeological Photographs: Published By",publishing_status.2301.updated_by
Color notes,fd_47961_s
Related works (influenced),fd_47960_s
"ARTstor Workspace, Cornell: International Ladies' Garment Workers' Union Photographs: Status",publishing_status.281.status
"Shared Shelf Commons, Cornell: Southern Tenant Farmers Union Photographs: Published By",publishing_status.274.updated_by
GRAPHICAL DEPICTION,fd_47966_mfcl_lookup
Image_Title,fd_35650_sfd_46670_s | fd_21166_s | fd_21242_s | fd_5450_s | 
"ARTstor Workspace, Cornell: Reuleaux Kinematic Mechanisms Collection: Status",publishing_status.153.status
Creator Biography,fd_41109_s
Faces,fd_18706_mfcl_lookup
Published Source,fd_43816_sfd_47920_s | 
Artstor Classification,fd_14718_mfcl_lookupfd_44662_mfcl_lookup | fd_24235_mfcl_lookup | fd_35657_mfcl_lookup | fd_15745_mfcl_lookup | fd_4516_mfcl_lookup | fd_24657_mfcl_lookup | fd_4792_mfcl_lookup | fd_31107_mfcl_lookup | fd_51017_mfcl_lookup | fd_25451_mfcl_lookup | fd_36153_mfcl_lookup | fd_3160_mfcl_lookup | fd_58688_mfcl_lookup | fd_41082_mfcl_lookup | fd_25701_mfcl_lookup | fd_1472_mfcl_lookup | fd_1505_mfcl_lookup | fd_1538_mfcl_lookup | fd_4086_mfcl_lookup | fd_22770_mfcl_lookup | fd_20054_mfcl_lookup | fd_44722_mfcl_lookup | fd_17176_mfcl_lookup | fd_3369_mfcl_lookup | fd_31579_mfcl_lookup | fd_41003_mfcl_lookup | fd_46677_mfcl_lookup | fd_31363_mfcl_lookup | fd_27329_mfcl_lookup | fd_1954_mfcl_lookup | fd_3455_mfcl_lookup | fd_3500_mfcl_lookup | fd_2085_mfcl_lookup | fd_2113_mfcl_lookup | fd_3537_mfcl_lookup | fd_42110_mfcl_lookup | fd_2140_mfcl_lookup | fd_2184_mfcl_lookup | fd_29974_mfcl_lookup | fd_28512_mfcl_lookup | fd_52313_mfcl_lookup | fd_2259_mfcl_lookup | fd_2303_mfcl_lookup | fd_2333_mfcl_lookup | fd_52349_mfcl_lookup | fd_18685_mfcl_lookup | fd_30046_mfcl_lookup | fd_31041_mfcl_lookup | fd_47900_mfcl_lookup | fd_47934_mfcl_lookup | fd_4463_mfcl_lookup | fd_40120_mfcl_lookup | fd_31012_mfcl_lookup | fd_21174_mfcl_lookup | fd_21250_mfcl_lookup | fd_5332_mfcl_lookup | fd_5371_mfcl_lookup | fd_31490_mfcl_lookup | fd_5457_mfcl_lookup | fd_5533_mfcl_lookup | fd_3121_mfcl_lookup | fd_34857_mfcl_lookup | fd_42378_mfcl_lookup | fd_21814_mfcl_lookup | fd_58236_mfcl_lookup | fd_6331_mfcl_lookup | fd_22265_mfcl_lookup | fd_51670_mfcl_lookup | fd_34436_mfcl_lookup | fd_52744_mfcl_lookup | 
"Shared Shelf Commons, Cornell: Plant Pathology Herbarium (CUP): Status",publishing_status.168.status
Artstor Country,fd_31372_mfcl_lookupfd_31496_mfcl_lookup | 
Description (not public),fd_36505_s
City/State,fd_58678_lookupfd_40110_lookup | fd_34946_lookup | 
Style/Period,fd_44659_lookupfd_24232_lookup | fd_16249_lookup | fd_24654_lookup | fd_31104_lookup | fd_51014_lookup | fd_25448_lookup | fd_36150_lookup | fd_58686_lookup | fd_1469_s | fd_1502_lookup | fd_1535_s | fd_22767_lookup | fd_20051_lookup | fd_44719_lookup | fd_17173_lookup | fd_3389_lookup | fd_41000_lookup | fd_31360_lookup | fd_2082_s | fd_2110_s | fd_42107_lookup | fd_2181_s | fd_29971_lookup | fd_28509_lookup | fd_52310_lookup | fd_52346_lookup | fd_18682_lookup | fd_30043_lookup | fd_31038_lookup | fd_47897_lookup | fd_47931_lookup | fd_40118_lookup | fd_31009_lookup | fd_31487_s | fd_34854_lookup | fd_42375_lookup | fd_58233_lookup | fd_51667_lookup | fd_34433_lookup | fd_52741_lookup | 
Catalog link,fd_52531_s
Place of Publication,fd_4038_lookup
MasterFileFormat,fd_4214_s
Original Call Number,fd_3488_s
"ARTstor Workspace, Archivision Library - Addition Module Six: Status",publishing_status.205.status
Work_MeasurementDisplay,fd_35656_sfd_46676_s | fd_21173_s | fd_21249_s | fd_5456_s | 
"Shared Shelf Commons, Cornell: Obama Visual Iconography: Published By",publishing_status.250.updated_by
"Shared Shelf Commons, Cornell: Beyond the Taj: Architectural Traditions and Landscape Experience in South Asia: Status",publishing_status.958.status
RelationType1,fd_35675_sfd_46695_s | fd_21203_s | fd_21279_s | fd_5480_s | 
New Accession Number,fd_2165_sfd_21833_s | 
Image view type,fd_26735_mfcl_lookup
Accession Sequence,fd_51062_s
Creator (Illustrator),fd_2292_lookup
Created On,created_on
Descriptor,fd_41119_s
"Shared Shelf Commons, Cornell: John Reps Collection: Published By",publishing_status.438.updated_by
Elevation,fd_44670_sfd_24243_s | fd_24665_s | fd_31115_s | fd_51025_s | fd_25459_s | fd_36161_s | fd_58682_s | fd_1480_s | fd_1513_s | fd_1546_s | fd_22778_s | fd_20062_s | fd_44730_s | fd_3377_s | fd_41011_s | fd_31371_s | fd_27337_s | fd_42118_s | fd_2148_s | fd_29982_s | fd_28520_s | fd_52321_s | fd_52357_s | fd_18693_s | fd_31049_s | fd_47908_s | fd_47942_s | fd_40114_s | fd_31020_s | fd_34865_s | fd_42386_s | fd_21822_s | fd_51678_s | 
"Shared Shelf Commons, Cornell: Efraim Racker Paintings: Published On",publishing_status-412-updated_on
"ARTstor Workspace, Cornell: New York Call Photographs: Published On",publishing_status-275-updated_on
Culture,fd_14708_sfd_44652_lookup | fd_24225_lookup | fd_15735_s | fd_4506_s | fd_24647_lookup | fd_4782_s | fd_31097_lookup | fd_51007_lookup | fd_25441_lookup | fd_36143_lookup | fd_3179_lookup | fd_58673_lookup | fd_41072_lookup | fd_1462_s | fd_1495_lookup | fd_1528_s | fd_4076_s | fd_22760_lookup | fd_20044_lookup | fd_44712_lookup | fd_17166_s | fd_3388_lookup | fd_31571_lookup | fd_40993_lookup | fd_31353_lookup | fd_27319_lookup | fd_1944_s | fd_3490_s | fd_2075_lookup | fd_2105_s | fd_3527_s | fd_42100_lookup | fd_2174_s | fd_29964_lookup | fd_28502_lookup | fd_52303_s | fd_2249_s | fd_2293_lookup | fd_2323_s | fd_52339_lookup | fd_18675_lookup | fd_30036_lookup | fd_31031_lookup | fd_47890_lookup | fd_4482_lookup | fd_40105_lookup | fd_31002_lookup | fd_31481_s | fd_5526_s | fd_3111_s | fd_34847_lookup | fd_42368_lookup | fd_58227_lookup | fd_51660_lookup | fd_34426_lookup | fd_3986_lookup | fd_52734_lookup | 
"Shared Shelf Commons, Cornell: Andrew Dickson White Collection of Architectural Photographs: Published By",publishing_status.959.updated_by
Original Storage Medium,fd_2211_s
"ARTstor Workspace, Archivision Library - Addition Module Six: Published On",publishing_status-205-updated_on
Reference link,fd_41445_sfd_58253_s | 
Style/Period ,fd_4483_lookup
Note,fd_2288_sfd_38311_s | 
Country (original),fd_25710_mfcl_lookup
Units (Dimensions),fd_62095_mfcl_lookup
Sponsor Year,fd_53888_s
"Shared Shelf Commons, Cornell: Lowentheil Collection of African-American Photographs: Published By",publishing_status.1236.updated_by
"Shared Shelf Commons, Cornell: Bernard Kassoy Teacher News Cartoons: Published By",publishing_status.286.updated_by
"ARTstor Workspace, Cornell Squeeze Collection: Published On",publishing_status-748-updated_on
"Shared Shelf Commons, Cornell: Selections from the Anthropology Collections: Published By",publishing_status.284.updated_by
Invited Guests,fd_4548_sfd_5553_s | 
Publication Author,fd_31384_sfd_31507_s | 
